keyboard,0.9116417169570923,922,562,1450,853
laptop,0.7388490438461304,678,286,1169,723
tv,0.6354899406433105,897,110,1397,458
chair,0.5576096773147583,1315,465,1909,1071
cell phone,0.5163624286651611,1041,504,1252,582
book,0.4743569493293762,1339,401,1675,545
backpack,0.4283334016799927,155,0,712,845
laptop,0.42753705382347107,904,103,1402,465
remote,0.42704319953918457,1039,504,1253,583
remote,0.4218171238899231,1303,482,1500,552
laptop,0.3914680480957031,760,145,1382,649
suitcase,0.37270069122314453,157,0,713,836
