bottle,0.8310810327529907,1380,156,1586,576
dining table,0.818684458732605,0,364,1917,1075
bowl,0.7455388903617859,323,523,838,765
fork,0.7089570164680481,78,680,190,896
cup,0.616017758846283,1082,370,1175,584
spoon,0.6043389439582825,896,601,1011,795
potted plant,0.4562326967716217,813,136,1273,381
spoon,0.39368563890457153,895,600,980,679
fork,0.37863150238990784,1032,623,1183,811
knife,0.37490034103393555,1039,616,1182,808
chair,0.3689894378185272,31,61,630,418
cup,0.3637993633747101,1606,326,1853,575
spoon,0.35346680879592896,1040,613,1183,808
bowl,0.35123375058174133,1603,325,1852,573
