bottle,0.8444505333900452,1310,163,1595,675
fork,0.7546486258506775,12,299,292,530
dining table,0.7035260200500488,4,0,1920,1080
spoon,0.6612080931663513,497,448,788,744
knife,0.6011379361152649,524,486,860,821
bowl,0.5812541246414185,227,252,662,525
knife,0.5377583503723145,498,450,778,732
microwave,0.53656005859375,0,0,247,341
knife,0.4940253794193268,12,300,290,531
bowl,0.4694099426269531,1526,464,1870,830
bottle,0.43402811884880066,1013,261,1130,501
carrot,0.4315527081489563,301,114,678,304
spoon,0.4092777371406555,529,488,877,821
cup,0.38258543610572815,1526,464,1870,830
refrigerator,0.3566611707210541,1,0,243,336
