laptop,0.8600109815597534,570,384,1141,884
mouse,0.7185913920402527,1286,689,1412,772
remote,0.6410734057426453,1298,620,1482,715
book,0.6289893388748169,1348,538,1716,729
keyboard,0.6033058166503906,642,712,1321,989
remote,0.5466846227645874,1001,602,1201,706
cell phone,0.502798855304718,999,603,1204,706
cell phone,0.46809619665145874,1297,619,1483,715
backpack,0.4532857835292816,92,30,593,780
tv,0.43861135840415955,902,191,1496,547
chair,0.4058831036090851,998,688,1781,1067
person,0.37471792101860046,93,27,598,849
