bed,0.487874,1,91,369,602
backpack,0.505617,871,175,1025,366
sofa,0.570543,712,124,1277,541
person,0.579179,971,192,1243,461
sofa,0.66397,2,90,370,603
teddy bear,0.680605,976,186,1235,466
teddy bear,0.709259,522,98,622,190
person,0.732533,522,97,623,190
handbag,0.792885,871,176,1025,366
chair,0.836556,902,145,1279,1009
bottle,0.848165,748,429,936,746
backpack,0.894035,0,115,185,352
sofa,0.89721,272,64,832,491
pottedplant,0.933196,337,181,583,538
