potted plant,0.8322184681892395,317,188,578,537
teddy bear,0.7326619029045105,519,94,620,187
couch,0.6669527888298035,1,76,838,561
handbag,0.5893920063972473,864,172,1037,368
bottle,0.5807696580886841,750,427,936,747
chair,0.5784950256347656,810,137,1278,965
couch,0.5241968035697937,364,85,1233,542
couch,0.4794674515724182,718,124,1267,613
chair,0.43033331632614136,904,481,1280,1000
couch,0.4241383671760559,0,84,378,588
chair,0.41643327474594116,1127,141,1276,549
chair,0.3981401324272156,718,124,1267,613
chair,0.38845643401145935,971,134,1273,510
