remote,0.8880401253700256,929,551,1064,631
mouse,0.8423535227775574,914,603,1009,667
laptop,0.8184386491775513,386,354,771,666
book,0.7743056416511536,977,505,1242,642
tv,0.6484496593475342,643,213,1080,503
keyboard,0.6334803104400635,421,608,930,795
backpack,0.6091733574867249,23,56,403,590
suitcase,0.5785378813743591,23,56,403,590
laptop,0.4984997510910034,390,424,923,796
laptop,0.4617214500904083,647,209,1084,496
keyboard,0.41179347038269043,422,543,742,669
chair,0.3999699354171753,465,634,1255,1012
cell phone,0.39198654890060425,712,529,860,604
book,0.3862638771533966,1073,495,1272,624
