bowl,0.95458984375,304,323,445,401
dining table,0.9326171875,124,266,658,643
chair,0.89453125,286,237,368,291
knife,0.8837890625,257,427,339,508
chair,0.8125,120,247,249,371
chair,0.607421875,378,235,446,276
chair,0.5009765625,624,335,788,556
bottle,0.444580078125,452,243,497,318
spoon,0.34423828125,423,332,496,382
fork,0.332763671875,424,333,497,381
knife,0.319580078125,425,333,497,380
knife,0.287353515625,428,330,525,379
bottle,0.2861328125,442,174,462,272
fork,0.2802734375,429,330,526,379
cup,0.278564453125,491,277,530,314
bottle,0.252685546875,418,280,440,323
refrigerator,0.251220703125,116,127,219,291
