knife,0.94189453125,456,397,522,537
dining table,0.93798828125,75,279,786,788
refrigerator,0.935546875,269,97,388,283
chair,0.92529296875,210,219,343,306
spoon,0.9169921875,415,388,463,514
chair,0.8623046875,396,232,514,301
bottle,0.78857421875,541,282,622,395
fork,0.63330078125,125,392,186,514
knife,0.453857421875,125,415,181,512
chair,0.405517578125,512,241,599,312
bottle,0.38720703125,469,316,509,379
cup,0.374267578125,469,316,509,379
person,0.343994140625,566,109,681,301
bowl,0.287841796875,207,343,399,468
bowl,0.284912109375,598,345,659,407
chair,0.27490234375,95,230,200,376
knife,0.267822265625,414,388,462,514
cup,0.26318359375,597,343,659,407
person,0.25048828125,558,188,580,218
