person,0.919921875,521,353,666,481
potted plant,0.78271484375,235,328,344,470
couch,0.7236328125,35,297,455,460
couch,0.6669921875,401,339,686,565
clock,0.6162109375,180,156,224,189
chair,0.53955078125,454,294,832,753
handbag,0.5009765625,470,345,541,423
chair,0.414306640625,288,309,456,452
teddy bear,0.400634765625,357,321,391,351
couch,0.394287109375,35,295,287,458
couch,0.392333984375,288,309,456,452
bed,0.341064453125,401,338,685,566
bed,0.33251953125,35,295,287,458
handbag,0.304931640625,471,377,541,423
bed,0.286865234375,458,292,831,763
backpack,0.25341796875,471,345,542,423
