refrigerator,0.7432124018669128,417,48,534,235
bottle,0.6749229431152344,517,203,652,415
bowl,0.6164137125015259,162,272,295,357
chair,0.5873300433158875,482,176,591,249
dining table,0.5811145901679993,52,206,824,783
cup,0.5646693706512451,617,344,739,471
spoon,0.5373408198356628,219,321,325,436
knife,0.49329838156700134,214,320,326,437
fork,0.4718908965587616,217,322,325,435
bottle,0.40987226366996765,408,252,446,337
cup,0.4031071066856384,408,252,446,336
oven,0.3831039369106293,137,199,252,300
chair,0.3607958257198334,649,220,753,336
