remote,0.811652421951294,529,488,580,536
laptop,0.7451187372207642,433,349,608,465
cell phone,0.684589684009552,438,473,482,515
book,0.6779056191444397,559,467,664,548
laptop,0.6467514634132385,292,397,424,509
keyboard,0.6281620264053345,216,519,481,595
backpack,0.5742599964141846,221,304,340,471
mouse,0.5406097769737244,501,522,540,560
suitcase,0.48729148507118225,221,304,339,472
remote,0.4801803231239319,614,456,699,526
keyboard,0.4606059491634369,285,474,424,525
remote,0.4181411862373352,581,462,680,537
tv,0.4155243933200836,434,351,605,463
