laptop,0.9177148938179016,290,424,483,594
keyboard,0.8746246099472046,319,526,570,705
tv,0.5916182398796082,396,382,532,480
laptop,0.5364999771118164,394,381,533,479
tv,0.531805694103241,542,162,825,431
keyboard,0.5049760937690735,295,452,479,592
laptop,0.43902814388275146,551,185,827,434
backpack,0.4207872748374939,144,310,295,533
book,0.4127790331840515,514,467,610,508
cell phone,0.4107570946216583,424,493,497,526
keyboard,0.3846120834350586,309,513,449,568
chair,0.3518383204936981,554,457,839,789
